S.No,Date & time,Asset Exchanged (Token),Asset Exchanged (Amount),Asset Received (Token),Asset Received (Amount),Conversion Rate,Current Conversion Rate,% Change in Conversion Change,Fees (Token),Fees (Amount),Type,Status
1,Tue Nov 16 2021 10:27:23 GMT+0530 (India Standard Time),USDT,19.800000,SOL,0.090000,1 SOL = 220.000000 USDT,1 SOL = 123.870000 USDT,-43.70,SOL,0.000090,limit,100% complete
2,Tue Nov 16 2021 10:26:50 GMT+0530 (India Standard Time),USDT,19.980000,ADA,11.100000,1 ADA = 1.800000 USDT,1 ADA = 1.137000 USDT,-36.83,ADA,0.011100,limit,100% complete
3,Tue Nov 16 2021 10:26:25 GMT+0530 (India Standard Time),USDT,20.000000,DOT,0.50000000,1 DOT = 40.000000 USDT,1 DOT = 21.380000 USDT,-46.55,DOT,0.00050000,limit,100% complete
4,Tue Nov 16 2021 10:25:04 GMT+0530 (India Standard Time),USDT,19.780000,ETH,0.00460000,1 ETH = 4300.000000 USDT,1 ETH = 3340.830000 USDT,-22.31,ETH,0.00000460,limit,100% complete
5,Tue Nov 16 2021 10:24:37 GMT+0530 (India Standard Time),USDT,17.748000,BTC,0.00029000,1 BTC = 61200.000000 USDT,1 BTC = 45278.520000 USDT,-26.02,BTC,0.00000029,limit,100% complete
6,Thu Nov 04 2021 06:22:52 GMT+0530 (India Standard Time),USDT,100.000000,SHIB,2000000.00000000,1 SHIB = 0.000050 USDT,1 SHIB = 0.000025 USDT,-48.06,SHIB,2000.00000000,limit,100% complete
7,Wed Nov 03 2021 14:28:06 GMT+0530 (India Standard Time),USDT,65.250000,DOGE,261.00000000,1 DOGE = 0.250000 USDT,1 DOGE = 0.157400 USDT,-37.04,DOGE,0.26100000,limit,100% complete
8,Wed Nov 03 2021 14:26:56 GMT+0530 (India Standard Time),USDT,199.999994,SHIB,3076923.00000000,1 SHIB = 0.000064 USDT,1 SHIB = 0.000025 USDT,-60.05,SHIB,3076.92300000,limit,100% complete
